marca,modelo,introduccion de modelo,caracteristicas generales,colores disponibles,variante,gama,detalle de version,año modelo,precio lista usd,tipo de carroceria (suv / sedan),motor cilindros,cilindrada combustible tipo,tipo de gama,descripcion del modelo,transmision,garantia,potencia,torque,distancia entre ejes,tamaño aros,dimensiones,paquete de mantenimiento prepago,primer servicio de mantenimiento,frecuencia de mantenimiento,sunroof,capacidad de la maletera,espejos electricos,aire acondicionado,radio tactil,camara de retroceso,airbags,sistema de frenos,tipo de frenos,alzavidrios electricos,volante forrado en cuero,sensores de estacionamiento,faros delanteros led,faros posteriores led,faros neblineros,panel de instrumentos,tipo de llave,conectividad de la radio,suspension delanteros,suspension posteriores,llanta de repuesto,cargador inalambrico,material de asientos,maletero inteligente,asistencia de prevencion de colision frontal - fca,asistencia de prevencion de colision en el punto ciego - bca,asistencia de mantenimiento de carril - lka,asistencia de prevencion de colision con trafico cruzado trasero - rcca,asistencia de seguimiento de carril - lfa,control crucero,rieles en el techo,freno de estacionamiento,numero de asientos,traccion,monitor de punto ciego,asientos electricos,autonomia (ev)
SOUEAST,S07 6 DCT,"SUV espacioso y versátil, que ofrece buen equipamiento, comodidad y desempeño equilibrado para la familia y los viajes.","Motor 1.500 cc Turbo 6DCT
A/C Digital
7 pasajeros 
Control Crucero
Compuerta trasera eléctrica 
Apple Car Play / Android Auto","Blanco, Gris oscuro, Negro, Azul",NO TENGO,Intermedia,S07 IIA 1.5 T 7P,2026,Desde $36.900,SUV,4 cilindros,Motor de 1500 centímetros cúbicos a gasolina con Inyección Multipunto,N/A,N/A,6DCT,La cobertura básica es de 7 años o 200.000 km (*ver nuestras condiciones en nuestras sucursales),"Motor con 156 caballos de fuerza a 5,500 revoluciones por minuto.",Cuenta con 230newton-metro (NM),"La distancia entre ejes es de: 2,720mm","Cuenta con aros de 19"" /20""",Las medidas del vehiculo son Largo: 4724/ Ancho: 1900 / Alto: 1720 (mm),N/A,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,438 Litros,SI,DIGITAL,"12,3”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,SI,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Mc Pherson,Emergencia,SI,CUERO,SI,NO,NO,NO,NO,NO,SI,SI,ELÉCTRICO,7,FWD,NO,SI,N/A
SOUEAST,S07 7 DCT,"SUV espacioso y versátil, que ofrece buen equipamiento, comodidad y desempeño equilibrado para la familia y los viajes.","Motor 1.600 cc Turbo 7DCT
A/C Digital bi-zona
7 pasajeros 
Control Crucero adaptativo
Compuerta trasera eléctrica 
Apple Car Play / Android Auto","Blanco, Gris oscuro, Negro, Azul",NO TENGO,Tope de gama,S07 IIB1.6 T 7P,2026,Desde $39.900,SUV,4 cilindros,Motor de 1600 centímetros cúbicos a gasolina con Inyección Multipunto,N/A,N/A,7DCT,La cobertura básica es de 7 años o 200.000 km (*ver nuestras condiciones en nuestras sucursales),"Motor con 197 caballos de fuerza a 5,500 revoluciones por minuto.",Cuenta con 290 newton-metro (NM),"La distancia entre ejes es de: 2,720mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 4724/ Ancho: 1900 / Alto: 1720 (mm),N/A,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,438 Litros,SI,DIGITAL BI ZONA,"12,3”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,SI,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Mc Pherson,Emergencia,SI,CUERO,SI,NO,NO,NO,NO,NO,ADAPTATIVO,SI,ELÉCTRICO,7,FWD,NO,SI,N/A
SOUEAST,S09 4X2,"SUV familiar, con un diseño robusto y elegante, que brinda amplitud, tecnología y confort para una experiencia de manejo segura y confortable","Motor 1.600 Tubo 7DCT 
Potencia 145 HP / 290 Nm
A/C digital
Suspensión trasera Multibrazo independiente
Pantalla digital de 15.6”","Blanco, Gris oscuro, Negro, Azul, Gris",NO TENGO,Intermedia,S09 II 1.6 T 7P,2026,Desde $41.900,SUV,4 cilindros,Motor de 1600 centímetros cúbicos a gasolina con Inyección Multipunto,N/A,N/A,7DCT,La cobertura básica es de 7 años o 200.000 km (*ver nuestras condiciones en nuestras sucursales),"Motor con 197 caballos de fuerza a 5,500 revoluciones por minuto.",Cuenta con 290 newton-metro (NM),"La distancia entre ejes es de: 2,850mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 4858 / Ancho: 1925 / Alto: 1780 (mm),N/A,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,1130 Litros,SI,DIGITAL BI ZONA,"15,6”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,SI,SI,SI,"10,25""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo independiente,Emergencia,SI,CUERO,SI,NO,NO,NO,NO,NO,SI,SI,ELÉCTRICO,7,FWD,NO,SI,N/A
SOUEAST,S09 4X4,"nuestro S09 4x4 es la versión con tracción integral del S09, diseñada para ofrecer mayor estabilidad y capacidad en diferentes tipos de terreno, combinando potencia, tecnología y versatilidad.","Motor 2.000 Tubo DCT 
Potencia 254 HP / 390 Nm
A/C digital Trizona
Suspensión Multibrazo independiente
Pantalla digital de 15.6”","Blanco, Negro, Gris oscuro",NO TENGO,Tope de gama,S09 IV 2.0 T 7P 4X4,2026,Desde $49.900,SUV,4 cilindros,Motor de 2000 centímetros cúbicos a gasolina con Inyección Multipunto,N/A,N/A,8AT,La cobertura básica es de 7 años o 200.000 km (*ver nuestras condiciones en nuestras sucursales),"Motor con 254 caballos de fuerza a 5,500 revoluciones por minuto.",Cuenta con 390 newton-metro (NM),"La distancia entre ejes es de: 2,850mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 4858 / Ancho: 1925 / Alto: 1795 (mm),N/A,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,1130 Litros,SI,DIGITAL TRI ZONA,"15,6”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,SI,SI,SI,"10,25""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo independiente,Emergencia,SI,CUERO,SI,NO,NO,NO,NO,SI,ADAPTATIVO,SI,ELÉCTRICO,7,AWD,SI,SI,N/A
SOUEAST,S06,"SUV compacto de diseño moderno y juvenil, que combina eficiencia, tecnología y confort, ideal para la movilidad urbana y el uso diario.","Motor 1.500 Tubo 6DCT 
Potencia 156 HP / 230 Nm
Aros de 18"" Pulgadas
Asientos en Cuero 
Pantalla digital de 15.6” y Cámara 360º","Blanco, Gris claro, Negro, Plateado, Gris oscuro, Verde y Gris",NO TENGO,Intermedia,S06 II 1.5 T,2026/2027,Desde $33.900,SUV,4 cilindros,Motor de 1500 centímetros cúbicos a gasolina con Inyección Multipunto,N/A,N/A,6 DCT,La cobertura básica es de 7 años o 200.000 km (*ver nuestras condiciones en nuestras sucursales),"Motor con 156 caballos de fuerza a 5,500 revoluciones por minuto.",Cuenta con 230 newton-metro (NM),"La distancia entre ejes es de: 2,720mm","Cuenta con aros de 18""",Las medidas del vehiculo son Largo: 4616 / Ancho: 1910 / Alto: 1690 (mm),N/A,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,486 Litros,SI,DIGITAL BI ZONA,"15,6”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,SI,SI,SI,"9,2""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Mc Pherson,Emergencia,SI,CUERO,SI,NO,NO,NO,NO,NO,SI,SI,ELÉCTRICO,5,FWD,NO,SI,N/A
